,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,food,life
654,San Luis Potosi,Mexico,9.02,33.52,7.74,1.62,2.84,2.55,1.22,0.86,1.1,2.18,1.92,1.98,5.8,6.21,7.86,2.49,1.1,1.39,1.17,1.46,1.44,0.97,1.23,9.28,1.57,2.58,3.76,0.54,21.52,1.03,0.62,5.41,1.15,17275.61,19402.83,52.86,0.16,28.36,38.68,9.02,4.13,42.97,41.26,73.92,61.88,309.41,305.12,546.63,519.99,825.1,1611.53,911.05,11.08,164.64610000000002,755.81264
655,Albuquerque,United States,15.0,65.0,8.3,5.0,5.0,4.28,1.94,1.48,0.99,3.1,3.42,3.65,10.88,9.9,15.97,4.29,1.31,3.9,3.43,2.33,1.88,1.72,2.0,12.0,3.21,3.2,9.0,1.0,30.0,2.73,3.0,32.0,1.12,22500.0,21625.0,129.67,0.15,74.35,34.62,32.5,12.5,53.3,42.5,78.0,90.89,1364.58,1125.0,2340.0,1958.12,2865.89,2389.59,5317.78,5.6,258.0372,1882.2708333333333
657,Bahawalpur,Pakistan,0.67,6.71,3.35,4.47,4.47,1.09,0.18,0.15,0.48,0.35,0.69,0.82,2.84,1.71,2.68,0.8,0.44,0.48,0.44,0.25,0.26,0.25,0.27,1.23,1.32,0.8,0.89,0.18,9.39,0.36,0.17,0.45,0.77,20116.23,14528.39,40.23,0.01,16.76,6.71,0.89,2.68,10.46,10.73,38.0,19.74,43.96,22.35,116.23,89.41,178.04,1153.66,106.17,12.5,44.45479999999999,339.0754533333333
659,Kolhapur,India,2.46,9.83,2.64,2.03,3.07,1.54,0.28,0.17,0.72,0.41,0.61,0.88,6.75,3.56,3.44,2.21,0.66,1.19,0.43,0.49,0.37,0.55,0.31,14.74,1.38,3.68,5.28,0.31,,0.61,0.31,0.61,1.35,,,20.88,0.01,8.6,7.37,1.23,2.46,36.85,30.7,36.85,22.11,73.69,49.13,245.64,147.38,661.0,356.94,245.64,10.17,67.55040000000001,
661,Thiruvananthapuram,India,1.6,9.21,4.3,2.33,4.3,1.57,0.42,0.19,0.57,0.51,0.53,0.91,5.99,2.55,4.46,2.76,0.66,1.03,0.68,0.42,0.5,0.52,0.32,3.68,1.54,3.77,3.17,0.18,9.21,1.23,0.2,0.74,1.27,19749.44,24256.48,28.15,0.02,9.52,16.89,2.92,2.46,29.48,19.9,44.01,28.66,110.54,81.88,257.92,195.28,1147.37,506.77,698.1,8.79,66.9861,575.7726733333333
664,Cucuta,Colombia,3.15,12.59,4.09,0.94,1.4,0.91,0.5,0.39,0.6,0.86,0.66,1.8,3.78,3.57,5.21,1.53,0.63,0.42,0.73,0.38,0.52,0.5,0.65,5.87,0.6,0.36,1.63,0.46,17.37,1.05,0.65,4.83,0.43,14685.94,15630.04,42.83,0.04,13.99,9.97,5.04,3.04,41.96,23.08,53.5,43.43,183.57,212.42,136.37,188.82,485.53,356.81,216.95,20.0,85.29509999999999,439.59282
667,Zaporizhzhia,Ukraine,5.44,19.72,4.08,0.82,1.36,0.84,0.48,0.39,0.74,0.49,0.98,1.1,6.6,3.25,4.76,0.35,0.83,0.98,1.73,0.3,0.37,0.97,0.36,2.99,0.61,0.91,1.9,0.22,8.16,1.16,0.27,3.26,1.24,16843.21,24363.36,84.77,0.03,4.28,19.49,11.32,2.45,29.92,28.56,66.36,73.43,149.58,108.79,285.56,224.37,756.16,642.88,346.75,18.67,68.1871,610.8827133333332
668,Tyumen,Russia,9.6,36.8,6.4,2.16,4.0,2.51,1.52,0.76,1.14,0.64,1.78,1.49,12.88,5.07,11.4,1.73,1.34,1.67,2.46,0.77,0.66,1.4,0.8,9.6,1.08,1.87,2.88,0.45,27.84,1.63,0.23,5.28,0.82,57472.01,35493.34,100.12,0.03,8.8,28.46,18.4,5.6,147.73,85.33,82.67,90.67,427.2,284.0,1066.67,800.0,2346.67,1824.0,765.6,9.07,131.85600000000002,954.8850533333332
669,Lviv,Ukraine,4.49,20.4,4.08,1.09,1.63,1.23,0.55,0.42,0.91,0.6,1.35,1.23,6.19,3.59,5.48,0.48,0.99,1.17,1.48,0.37,0.43,0.91,0.47,4.08,0.75,1.18,1.9,0.41,6.26,1.36,0.24,2.18,1.34,23198.53,17818.73,69.13,0.02,4.73,20.52,8.79,4.08,51.87,31.09,61.98,71.89,380.95,260.24,594.65,400.48,1303.25,806.4,454.48,13.86,80.79830000000001,810.7623399999999
671,Osogbo,Nigeria,1.58,11.26,5.63,0.81,1.13,1.59,0.31,0.23,2.7,0.96,1.69,1.56,4.88,2.36,2.03,3.15,0.45,0.34,0.56,2.77,0.68,0.56,0.39,1.58,0.34,0.45,1.13,0.11,,0.9,2.25,1.13,0.34,18911.68,33770.85,11.26,0.04,22.51,11.26,1.13,3.38,8.44,9.01,42.78,33.77,337.71,225.14,562.85,337.71,,,90.06,17.5,123.1413,
